Wavelengths,Rrs_sr-1,MEM_PUW,MEM_LowC,MEM_CDOM,MEM_CDOM-Chl,MEM_Chl,MEM_TSM,MEM_TSM-CDOM,MEM_TSM-Chl,MEM_HighC
872,0.001206612,1.66E-06,0.000273773,0.000272714,0.002218423,0.002227621,0.009744198,0.009703493,0.012176345,0.012126372
873,0.001192831,1.64E-06,0.000270943,0.000269916,0.00219308,0.00220198,0.009646565,0.009607078,0.012052642,0.012004153
874,0.001179328,1.61E-06,0.000268104,0.000267109,0.002167707,0.002176316,0.009548366,0.009510071,0.011928263,0.011881227
875,0.001162802,1.59E-06,0.000265205,0.000264242,0.002141861,0.002150183,0.009447611,0.009410498,0.011800763,0.011755169
876,0.001147395,1.56E-06,0.000262231,0.0002613,0.002115417,0.002123455,0.009343724,0.009307787,0.011669432,0.011625273
877,0.001134807,1.54E-06,0.000259221,0.000258321,0.002088709,0.002096468,0.009238195,0.009203418,0.011536103,0.011493356
878,0.00111897,1.52E-06,0.000256209,0.000255339,0.002062037,0.002069525,0.00913237,0.009098724,0.011402422,0.011361057
879,0.001102955,1.49E-06,0.000253207,0.000252366,0.002035493,0.002042718,0.009026666,0.008994124,0.011268908,0.011228888
880,0.001087991,1.47E-06,0.000250237,0.000249424,0.002009271,0.002016241,0.00892197,0.008890497,0.011136649,0.011097934
881,0.00107278,1.45E-06,0.000247306,0.000246521,0.001983429,0.001990153,0.008818562,0.008788123,0.011005991,0.010968538
882,0.00105823,1.42E-06,0.000244412,0.000243653,0.001957949,0.001964437,0.008716365,0.008686925,0.010876839,0.010840608
883,0.001046151,1.40E-06,0.000241548,0.000240815,0.001932772,0.001939031,0.008615128,0.008586657,0.010748888,0.010713841
884,0.001032211,1.38E-06,0.00023873,0.000238021,0.001908027,0.001914067,0.008515454,0.008487918,0.010622879,0.010588976
885,0.001017228,1.36E-06,0.000235971,0.000235285,0.001883824,0.001889654,0.008417854,0.008391217,0.010499444,0.010466642
886,0.001003542,1.34E-06,0.000233272,0.00023261,0.001860181,0.001865809,0.008322432,0.008296659,0.01037871,0.010346965
887,0.000990561,1.32E-06,0.000230641,0.00023,0.001837149,0.001842583,0.00822944,0.008204496,0.010260991,0.010230261
888,0.000978249,1.30E-06,0.000228094,0.000227474,0.001814864,0.001820115,0.008139535,0.008115382,0.010147096,0.010117337
889,0.000966223,1.28E-06,0.000225634,0.000225033,0.001793348,0.001798424,0.008052829,0.00802943,0.010037166,0.010008332
890,0.000954455,1.26E-06,0.000223254,0.000222672,0.001772544,0.001777454,0.007969083,0.007946405,0.009930909,0.009902958
891,0.000942948,1.24E-06,0.000220946,0.000220383,0.001752384,0.001757134,0.007888004,0.007866014,0.009827963,0.009800858
892,0.000931693,1.23E-06,0.000218691,0.000218145,0.001732701,0.001737299,0.007808827,0.0077875,0.009727388,0.009701097
893,0.000920673,1.21E-06,0.000216471,0.000215942,0.001713338,0.001717788,0.007730836,0.00771015,0.0096283,0.009602797
894,0.000909896,1.19E-06,0.000214287,0.000213774,0.001694314,0.001698622,0.00765413,0.007634063,0.009530822,0.00950608
895,0.000899342,1.18E-06,0.000212154,0.000211656,0.001675741,0.001679913,0.007579243,0.007559772,0.009435616,0.009411607
896,0.000889005,1.16E-06,0.000210075,0.000209592,0.001657658,0.0016617,0.00750637,0.007487472,0.00934292,0.009319615
897,0.000878889,1.14E-06,0.000208021,0.000207552,0.001639803,0.001643719,0.007434286,0.007415943,0.009251224,0.009228603
898,0.000868973,1.13E-06,0.000205967,0.000205512,0.001621985,0.001625778,0.007362102,0.007344301,0.009159433,0.00913748
899,0.00085926,1.11E-06,0.000203906,0.000203466,0.001604142,0.001607814,0.007289527,0.007272258,0.009067188,0.009045889
900,0.000848897,1.10E-06,0.000201839,0.000201412,0.00158627,0.001589825,0.007216542,0.007199794,0.008974466,0.008953808
901,0.000838396,1.08E-06,0.000199764,0.000199351,0.001568371,0.001571811,0.007143151,0.007126913,0.008881271,0.008861241
902,0.000828139,1.07E-06,0.000197672,0.000197271,0.001550349,0.001553677,0.007068904,0.007053168,0.008787048,0.008767636
903,0.00081784,1.05E-06,0.000195555,0.000195167,0.001532163,0.001535381,0.006993606,0.006978363,0.008691556,0.008672751
904,0.00080751,1.04E-06,0.000193419,0.000193043,0.001513846,0.001516956,0.006917401,0.006902644,0.008594974,0.008576766
905,0.000797827,1.02E-06,0.000191268,0.000190905,0.001495445,0.001498449,0.006840523,0.006826242,0.008497588,0.008479966
906,0.000788027,1.00E-06,0.000189096,0.000188745,0.001476897,0.001479798,0.006762664,0.00674885,0.008399019,0.008381973
907,0.000776808,9.89E-07,0.000186859,0.000186519,0.001457849,0.001460647,0.006682128,0.00666878,0.008297173,0.0082807
908,0.000765671,9.73E-07,0.00018454,0.000184212,0.001438163,0.001440858,0.006598245,0.006585363,0.008191223,0.008175325
909,0.000754682,9.56E-07,0.000182142,0.000181826,0.00141787,0.001420463,0.006511155,0.006498739,0.008081341,0.008066016
